pose_index,requested_roll_deg,requested_pitch_deg,requested_yaw_deg,applied_roll_deg,applied_pitch_deg,applied_yaw_deg,candidate,calibration_path,measurement_count,board_x_m,board_y_m,board_z_m,board_qx,board_qy,board_qz,board_qw,board_roll_deg,board_pitch_deg,board_yaw_deg,within_position_rms_mm,within_rotation_rms_deg
25,-6.0,0.0,-12.0,-6.0,0.0,-12.0,old,src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260715_baseline_old/calibration.calib,10,0.2893241062705348,-0.13543231951331278,-0.05779291259995567,0.005503050342703167,0.9983549396063484,-0.02100663808414013,0.053064603616085934,-177.61607740418535,6.095490985770632,179.49531064558977,0.153469931487684,0.054558304943594774
25,-6.0,0.0,-12.0,-6.0,0.0,-12.0,new,src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260723_auto_30samples/calibration.calib,10,0.2922624311576073,-0.11544026606031972,-0.06549711203829361,-0.047466497932064464,0.9966507768981093,-0.02299701648387023,0.06249238125804747,-177.00982554594785,7.029651448835718,-174.36287712774447,0.15346993148767754,0.054558304948939006
26,6.0,0.0,-12.0,6.0,0.0,-12.0,old,src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260715_baseline_old/calibration.calib,10,0.2855199568314828,-0.13619337433604636,-0.06042496824842227,0.00974627481527536,0.9985524921344415,-0.025946727151435672,0.04609444575488571,-177.0686506339794,5.310969161034038,179.01756176996506,0.05944753405556715,0.046737528123721124
26,6.0,0.0,-12.0,6.0,0.0,-12.0,new,src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260723_auto_30samples/calibration.calib,10,0.28723819131879874,-0.12288614394639305,-0.07044280285807003,-0.042840217714940974,0.9971171565369658,-0.03648231502547347,0.0509031686258799,-175.55559915163795,5.646295756999903,-174.8604284319804,0.05944753405556439,0.046737528125280745
27,-6.0,0.0,12.0,-6.0,0.0,12.0,old,src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260715_baseline_old/calibration.calib,10,0.28679844769457336,-0.13435660585087533,-0.059743880404022565,0.004684039051253494,0.9985601426065502,-0.01833272708405357,0.05019574178567437,-177.91821309566438,5.763280237405664,179.5672801313385,0.2867429658769586,0.0930736080835681
27,-6.0,0.0,12.0,-6.0,0.0,12.0,new,src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260723_auto_30samples/calibration.calib,10,0.2925340046812039,-0.1141185560003749,-0.06772859190714194,-0.04842731170072988,0.9969091592740079,-0.02387825483808446,0.057067964594146085,-176.93496549449486,6.400086576269828,-174.26640079167808,0.28716196171960173,0.09306177277748665
28,0.0,6.0,12.0,0.0,6.0,12.0,old,src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260715_baseline_old/calibration.calib,10,0.28836303988364625,-0.13628646320040316,-0.05792123195718779,0.00431106658668857,0.9983282163219208,-0.02293216031714403,0.05288008343002247,-177.38712438776446,6.072169941670302,179.6437731014613,0.18991106768843524,0.050700875266860894
28,0.0,6.0,12.0,0.0,6.0,12.0,new,src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260723_auto_30samples/calibration.calib,10,0.28985306510016234,-0.11583089435187728,-0.06886256486270755,-0.04940951430618472,0.9969740882268375,-0.026520921247229996,0.053833149977419274,-176.64497047323275,6.011019802437547,-174.14934160658325,0.1919009539139671,0.0513339982814854
29,0.0,-6.0,-12.0,0.0,-6.0,-12.0,old,src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260715_baseline_old/calibration.calib,10,0.28492463994711226,-0.13451232399553956,-0.06125636525426661,0.008111434460668547,0.9987207561524869,-0.019086083332446664,0.04611699561140204,-177.84884864205796,5.303167398064082,179.1689636170165,0.05162487818387524,0.04886094921706618
29,0.0,-6.0,-12.0,0.0,-6.0,-12.0,new,src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260723_auto_30samples/calibration.calib,10,0.2900558099992593,-0.11889627527104636,-0.06859277390056258,-0.043929538739631964,0.9970277229315853,-0.027659189307957795,0.05692876758553524,-176.52974675681781,6.378095914553576,-174.76089136491012,0.05162487818386897,0.04886094919021298
30,0.0,6.0,-12.0,0.0,6.0,-12.0,old,src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260715_baseline_old/calibration.calib,10,0.2883231654171398,-0.13721823426233545,-0.058436238898893725,0.007073941442447044,0.9983304632494719,-0.02541272080314516,0.05138520333661345,-177.11790688343655,5.909551873606201,179.33683837375196,0.055562300557263064,0.02672536623580228
30,0.0,6.0,-12.0,0.0,6.0,-12.0,new,src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260723_auto_30samples/calibration.calib,10,0.287764823025693,-0.11941361881258128,-0.06877402505965102,-0.046536047862835724,0.9969801433115928,-0.028938904763279018,0.05502299412796121,-176.3772366836317,6.143574943659157,-174.46061120016802,0.05556230055725289,0.026725366323081697
